cre88_RECID,cre88_TAXITEMGROUP,cre88_TAXGROUP,cre88_CONFIRMEDTAXWRITECODE,cre88_CURRENCYCODE,cre88_ITEMREFTYPE,cre88_NAME,cre88_TRANSACTIONCODE,cre88_VENDACCOUNT,cre88_DATAAREAID,cre88_ORDERACCOUNT,cre88_DELIVERYNAME,cre88_PAYMENT,cre88_PAYMMODE,cre88_PRICEGROUPID,cre88_PURCHASETYPE,cre88_PURCHNAME,cre88_PURCHSTATUS,cre88_VATNUM,cre88_VENDGROUP,cre88_COUNTRYREGIONID,cre88_ZIPCODE,cre88_STREET,cre88_CITY,cre88_STATE,cre88_COUNTY,cre88_PRODUCTTYPE,cre88_ITEMGROUPID
11227,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11228,Goods,P-EU-RC,,EUR,0,Hempalin Enamel,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11229,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11230,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11231,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,1,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11232,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11233,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,1,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11234,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,1,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11235,Goods,P-EU-RC,TVA,EUR,0,Hempalin Enamel,11,91022,fr12,91022,HEMPEL,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
11236,Goods,P-EU-RC,TVA,EUR,0,Hempalin Enamel,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,3,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
11237,Goods,P-EU-RC,TVA,EUR,0,Hempalin Enamel,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,2,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG
11238,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11239,Goods,P-EU-RC,TVA,EUR,0,Hempalin Enamel,11,91023,fr12,91023,HEMPEL C/O IEA,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,2,ESA08183881,INTERNAL,FRA,13110,IEA 4 Boulevard De La Merindolle ZI LA GRAND’COLLE,Port-de-Bouc,,,1,FG
11240,Goods,4,ALV,EUR,0,Hempalin Enamel,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
11241,Goods,4,ALV,EUR,0,Hempalin Enamel,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
11242,Goods,4,ALV,EUR,0,Hempalin Enamel,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
11243,Goods,4,,EUR,0,Hempalin Enamel,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,1,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
11244,Goods,NL21,,EUR,1,Hempalin Enamel,11,93020,fi11,93020,"M/V Mistral, IMO: 9183788",CM+25,Clearing,Area 3,3,HEMPEL (THE NETHERLANDS) B.V. - II,3,NL001839561B01,INTERNAL,BEL,8380,berth 207 c/o P&O Ferries Leopold II Dam 13 (Havendam),Zeebrugge,,,1,FG
11245,Goods,4,ALV,EUR,0,Hempalin Enamel,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS POLAND SP. Z O.O. - EX - GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
11246,Goods,4,,EUR,0,Hempalin Enamel,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS POLAND SP. Z O.O. - EX - GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG
11247,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93055,nl20,93055,Falcon Confidence,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,4,No VAT Number,INTERNAL,SGP,,Singapore,,,,1,FG
11248,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93055,nl20,93055,Falcon Confidence,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,3,No VAT Number,INTERNAL,SGP,,Singapore,,,,1,FG
11249,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93023,nl20,93023,HAPPY DIAMOND,CM+25,Clearing,Area 3,3,PINTURAS HEMPEL S.A. - II,3,ESA08183881,INTERNAL,GIB,30399,HAPPY DIAMOND IMO 9551947 BANDERA NETHERLANDS PUERTO GIBRALTAR CONSIGNA MEDPORT,GIBRALTAR,,,1,FG
11250,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93023,nl20,93023,IVER ACTION,CM+25,Clearing,Area 3,3,PINTURAS HEMPEL S.A. - II,3,ESA08183881,INTERNAL,ESP,35008,M/V IVER ACTION IMO:  9507984 FLAG: GIBRALTAR ,Las Palmas De Gran Canaria,,,1,FG
11251,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93023,nl20,93023,HOUSTON PEARL IMO 9576727,CM+25,Clearing,Area 3,3,PINTURAS HEMPEL S.A. - II,3,ESA08183881,INTERNAL,ESP,43001,Tarragona - Spain,Tarragona,,,1,FG
11252,Goods,7,ALV,EUR,1,Hempalin Enamel,11,93024,fi11,93024,"M/V Midas, IMO: 9002659",CM+25,Clearing,Area 3,3,HEMPEL (SWEDEN) AB - II,3,SE556038458701,INTERNAL,SWE,261 35,via m/v MIMER c/o Öresund Drydocks AB Profilgatan 23 Varvsudden,Landskrona,,,1,FG
11253,Goods,P-EU-RC,,EUR,1,Hempalin Enamel,Verkoop,93012,nl20,93012,MV REBECCA,CM+25,Clearing,Area 3,3,HEMPEL (FRANCE) S.A. - II,4,FR00562055244,INTERNAL,FRA,,Monte Zoncolan Rebecca B.V. c/o Vertom-Bojen Bereederungs GmbH & Co. KG  Lorient,,,,1,FG
11254,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93023,nl20,93023,WINTERSET,CM+25,Clearing,Area 3,3,PINTURAS HEMPEL S.A. - II,3,ESA08183881,INTERNAL,ESP,11201,WINTERSET IMO 7609726 CONSIGNA ASG SHIPPING BANDERA ISLAS MARSHALL PUERTO ALGECIRAS,Algeciras,,,1,FG
11255,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93004,nl20,93004,ESTEMAR (VERTOM-BOJEN) IMO 9552068,CM+25,Clearing,Area 3,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,3,PL7010150377,INTERNAL,POL,,Flag ; Luxembourg [LU]  Nabrzeze Slowackie Szczecin  c/o ILog Baltic Spo ka z.o.o. Wielka Odrzanska str 23/2 P-70-536 Szczecin Switchboard +48 91 431 47 72 Mobile: +48 601 961 026,Szczecin,,,1,FG
11256,Goods,P-II,,EUR,1,Hempalin Enamel,11,93052,fr12,93052,BOURBON LIBERTY 243,CM+25,Transfer,,3,HEMPEL PAINTS (SOUTH AFRICA) LTD. - II,3,No VAT Number,INTERNAL,NGA,,,ONNE PORT,,,1,FG
11257,Goods,P-NL,,EUR,1,Hempalin Enamel,11,93020,fr12,93020,GUYENNE,CM+25,Clearing,Area 3,3,HEMPEL (THE NETHERLANDS) B.V. - II,3,NL001839561B01,INTERNAL,BEL,2060,BRABO STEVEDORING & TRADING CY NV BREDASTRAAT 135 Alain Pepermans Phone 0032 3 233 28 99 warehouse@stcbrabo.be,Antwerpen,,,1,FG
11258,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93086,nl20,93086,Falcon Triumph,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,,INTERNAL,CHN,,At Lanqiao,,,,1,FG
11259,Goods,P-II,,EUR,1,Hempalin Enamel,11,93052,fr12,93052,B. EXPLORER 510,CM+25,Transfer,,3,HEMPEL PAINTS (SOUTH AFRICA) LTD. - II,1,,INTERNAL,AGO,,,,,,1,FG
11260,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93011,nl20,93011,m/v GENCA IMO 9307372,CM+25,Clearing,Area 3,3,OY HEMPEL (FINLAND) AB - II,3,FI01088542,INTERNAL,FIN,10900,c/o Hangö Stevedoring Länsisatama tel. 040 6617974/040 6617932 *TOIM. TI 22.5.*,Hanko,,,1,FG
11261,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93089,nl20,93089,MV MINERVAGRACHT,CM+25,Clearing,Area 3,3,HEMPEL COATINGS (CROATIA) LTD - II,3,HR14448967911,INTERNAL,SVN,6000,Vojkovo Nabrežje 38,Koper/Capodistria - dostava,,,1,FG
11262,Goods,NL21,ALV,EUR,1,Hempalin Enamel,11,93020,fi11,93020,"M/V Estraden, IMO: 9181077",CM+25,Clearing,Area 3,3,HEMPEL (THE NETHERLANDS) B.V. - II,3,NL001839561B01,INTERNAL,BEL,8380,c/o P&O North Sea Ferries Leopold II Dam 13 - Berth 207 tel +32 50 54 22 66,Zeebrugge,,,1,FG
11263,Goods,P-NL,,EUR,1,Hempalin Enamel,11,93020,fi11,93020,"M/V Estraden, IMO: 9181077",CM+25,Clearing,Area 3,3,HEMPEL (THE NETHERLANDS) B.V. - II,1,NL001839561B01,INTERNAL,BEL,8380,c/o P&O North Sea Ferries Leopold II Dam 13 - Berth 207 tel +32 50 54 22 66,Zeebrugge,,,1,FG
11264,Goods,7,ALV,EUR,1,Hempalin Enamel,11,93015,fi11,93015,"M/V Mistral, IMO: 9183788",CM+25,Clearing,Area 3,3,HEMPEL (UK) LTD - II,3,GB239113281,INTERNAL,GBR,L20 1BG,c/o P&O European Ferries Irish Sea Ltd Gladstone no 3 Dock Liverpool  Merseyside  ,BOOTLE,,,1,FG
11265,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93004,nl20,93004,MV EDZARD CIRKSENA,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,3,PL7010150377,INTERNAL,POL,,"IMO: 9375824 Flag ; Antigua & Barbuda  Port Darłowo, ul. Portowa 11 Darłowo  c/o Morska Agency Pone: 0048-5878-53812 darlowo@mag.pl",,,,1,FG
11266,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93011,nl20,93011,"M/V TIMCA, IMO:9307358",CM+25,Clearing,Area 3,3,OY HEMPEL (FINLAND) AB - II,3,FI01088542,INTERNAL,FIN,48200,c/o Transfennica tel 0400 569008 HIETANEN H3 *TOIM 27.6.*,Kotka,,,1,FG
11267,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93082,nl20,93082,M/V FSO ASIA,CM+25,Clearing,Area 4,3,HEMPEL PAINTS (QATAR) W.L.L. - II,3,,INTERNAL,QAT,,"TI ASIA LIMITED c/o Geodis Freight Forwarding LLC PO BOX 22660 Al Muftah  Street, Old Salata Al Aquaria Building, 6th Floor Doha, Qatar Attn. Ajay Jolly / Logistic Coordinator Tel:       +974 4466 6290 Fax:      +974 4466 6291 Mobile: +974 5",Doha,,,1,FG
11268,Goods,P-EU-RC,,EUR,1,Hempalin Enamel,Verkoop,93004,nl20,93004,Bothnia IMO 9485356,CM+25,Clearing,Area 3,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,4,PL7010150377,INTERNAL,EST,,"Flag ; Gibraltar   ESTMARE Logistics Ltd Port of Miiduranna, 74001, Harjumaa, ESTONIA ph   : +3726228260 mob  : +37253339619 tankeragency@estmare.ee",Sillamae,,,1,FG
11269,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93086,nl20,93086,MAASGRACHT (SPLIETHOFF) IMO 9571492,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,CHN,,Dalian,,,,1,FG
11270,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93086,nl20,93086,MAASGRACHT (SPLIETHOFF) IMO 9571492,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,4,No VAT Number,INTERNAL,CHN,,Dalian,,,,1,FG
11271,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93086,nl20,93086,MAASGRACHT (SPLIETHOFF) IMO 9571492,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,CHN,,Dalian,,,,1,FG
11272,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93018,nl20,93018,M/V DOLFIJNGRACHT@Monfalcone,CM+25,Clearing,Area 3,3,HEMPEL (ITALY) s.r.l. - II,3,IT00246440101,INTERNAL,ITA,,ETA: 19.06 MONFALCONE AGENZIA : FRIULTRANS  0481 410570 AGENZIA : ADRIATIC SERVICE,Monfalcone,,,1,FG
11273,Goods,P-NL,,EUR,1,Hempalin Enamel,11,93020,fr12,93020,Master of CHANTACO,CM+25,Clearing,Area 3,3,HEMPEL (THE NETHERLANDS) B.V. - II,3,NL001839561B01,INTERNAL,BEL,2060,IMO n° 9333802 BRABO STEVEDORING & TRADING CY N.V. Alain Pepermans BREDASTRAAT 135 0032 3 233 28 99 warehouse@stcbrabo.be,Antwerpen,,,1,FG
11274,Goods,7,ALV,EUR,1,Hempalin Enamel,11,93024,fi11,93024,"M/V Mimer, IMO: 9002647",CM+25,Clearing,Area 3,3,HEMPEL (SWEDEN) AB - II,3,SE556038458701,INTERNAL,SWE,261 35,c/o Öresund Drydocks Ab Profilgatan 23  Varvsudden,Landskrona,,,1,FG
11275,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93011,nl20,93011,EUROGRACHT (SPLIETHOFF) IMO 9086253,CM+25,Clearing,Area 3,3,OY HEMPEL (FINLAND) AB - II,3,FI01088542,INTERNAL,FIN,26100,c/o Euroports Rauma tel. 0400595161 / 0400655554 Hakunintie 23,Rauma,,,1,FG
11276,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93055,nl20,93055,MOLENGRACHT (SPLIETHOFF) IMO 9571533,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,4,No VAT Number,INTERNAL,SGP,,,,,,1,FG
11277,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93055,nl20,93055,MOLENGRACHT (SPLIETHOFF) IMO 9571533,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,2,No VAT Number,INTERNAL,SGP,,,,,,1,FG
11278,Goods,P-NEU-0,BTW,EUR,1,Hempalin Enamel,Verkoop,93032,nl20,93032,MIRO D,CM+25,Clearing,Area 3,3,HEMPEL COATINGS SAN. VE TIC Ltd. Sti. - II,3,No VAT Number,INTERNAL,TUR,,Gemak Shipyard,,,,1,FG
11279,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,93023,nl20,93023,IVER ACCORD (VROON) IMO 9507972,CM+25,Clearing,Area 3,3,PINTURAS HEMPEL S.A. - II,3,ESA08183881,INTERNAL,ESP,11011,NEXT MARITIME/CAYCO TF. 956073307 RECINTO INTERIOR ZONA FRANCA VIA FINLANDIA NAVE11,Cadiz,,,1,FG
11280,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93086,nl20,93086,HAPPY DIAMOND (SPLIETHOFF) IMO 9551947,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,CHN,,,,,,1,FG
11281,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93086,nl20,93086,DYNAMOGRACHT,CM+25,Clearing,Area 1,3,HEMPEL (CHINA) LTD - II,3,No VAT Number,INTERNAL,CHN,,Nanjing,,,,1,FG
11282,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93018,nl20,93018,m/v Iver Bitumen ITALY,CM+25,Clearing,Area 3,3,HEMPEL (ITALY) s.r.l. - II,3,IT00246440101,INTERNAL,ITA,,Augusta ETA  Agent Cap. S. Romeo & Ferreri Phone +39 931 521874 Dogana: Romeo&Ferreri,,,,1,FG
11283,Goods,P-EU-RC,,EUR,1,Hempalin Enamel,Verkoop,93018,nl20,93018,IVER AGILE,CM+25,Clearing,Area 3,3,HEMPEL (ITALY) s.r.l. - II,4,IT00246440101,INTERNAL,ITA,57121,Medov SRL CC/O George Menaboni Via Chiabrera 41,Livorno,,,1,FG
11284,Goods,P-NEU-0,BTW,EUR,1,Hempalin Enamel,Verkoop,93032,nl20,93032,M/V ORALYNN  IMO 9402677,CM+25,Clearing,Area 3,3,HEMPEL COATINGS SAN. VE TIC Ltd. Sti. - II,3,No VAT Number,INTERNAL,TUR,,Tersan sy,,,,1,FG
11285,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93042,nl20,93042,M/V OURO DO BRASIL,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - II,3,No VAT Number,INTERNAL,USA,19801,WILMINGTON TERM 1 HAUSEL RD. ,Wilmington,,,1,FG
11286,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93042,nl20,93042,M/V DIAMANTGRACHT (SPLIETHOFF) IMO 9420813,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - II,3,No VAT Number,INTERNAL,USA,70123,Norton Lilly 504-581-4141 Alabo Street Wharf,New Orleans,,,1,FG
11287,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93042,nl20,93042,M/V DYNAMOGRCHT,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - II,3,No VAT Number,INTERNAL,USA,77536,IMO 9420849  BEAUMONT TEXAS,Deer Park,,,1,FG
11288,Goods,P-II,,USD,1,Hempalin Enamel,11,93042,fr12,93042,MV GUYENNE IMO 9309148,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - II,3,No VAT Number,INTERNAL,USA,10305,C/O REYNOLDS LAUNCH 200 EDGEWATER ST.,Staten Island,,,1,FG
11289,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,94042,nl20,94042,WINTERSET (SMT) IMO 7609726,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - RETURN,2,No VAT Number,INTERNAL,USA,,,Tampa,,,1,FG
11290,Goods,P-NEU-0,,USD,1,Hempalin Enamel,Verkoop,93042,nl20,93042,CITRUS VITA BRASIL (EXMAR) IMO 9491836,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - II,1,No VAT Number,INTERNAL,USA,,Port Manatee Florida ,,,,1,FG
11291,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,94042,nl20,94042,IVER BLESSING (VROON) IMO 9588287,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - RETURN,2,No VAT Number,INTERNAL,USA,,Biehl 251-432-1605 Ros Maritime Launch Service AL 36602,Mobile,,,1,FG
11292,Goods,VAT-FOR-16,BTW,USD,1,Hempalin Enamel,Verkoop,93044,nl20,93044,M/V DYNAMOGRACHT,CM+25,Transfer,Area 7,3,HEMPEL (MEXICO) S.A. de C.V. - II,1,No VAT Number,INTERNAL,MEX,,VERACRUZ,,,,1,FG
11293,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93042,nl20,93042,DELTAGRACHT (SPLIETHOFF) IMO 9420801,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - II,3,,INTERNAL,USA,77098,C/O NORTON LILLY INTL. PH: 713-533-5600 PO# TD-44565,Houston,,,1,FG
11294,Goods,7,ALV,USD,1,Hempalin Enamel,11,93042,fi11,93042,"M/V Mimer, IMO: 9002647",CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - II,3,N/A,INTERNAL,PRI,,"c/o MARINE EXPRESS WAREHOUSES Pan American Dock, Port Authority Facilities Isla Grande Tel: 787-635-4820",,,,1,FG
11295,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93042,nl20,93042,HAMBURG PEARL,CM+25,Clearing,Area 6,3,HEMPEL (USA) Inc. - II,1,No VAT Number,INTERNAL,USA,78401,LA QUINTA MARINE SERVICES PH: 361-882-5146,Corpus Christi,,,1,FG
11296,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,1,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11297,Goods,P-EU-RC,,EUR,0,Hempalin Enamel,Verkoop,91004,nl20,91004,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Poland,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11298,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11299,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,P1 Spain,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11300,Goods,P-EU-RC,BTW,EUR,0,Hempalin Enamel,Verkoop,91023,nl20,91023,Hempel (The Netherlands) B.V.,CM+25,Clearing,,3,PINTURAS HEMPEL S.A - EX - GATE,3,ESA08183881,INTERNAL,NLD,3196 KC,C/O Imperial Butaanweg,Vondelingenplaat Rotterdam,,,1,FG
11301,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93053,nl20,93053,VOX MAXIMA (VAN OORD) IMO 9454096,CM+25,Clearing,Area 2,3,P.T. HEMPEL INDONESIA - II,3,No VAT Number,INTERNAL,IDN,,Batam,,,,1,FG
11302,Goods,P-NEU-0,BTW,USD,1,Hempalin Enamel,Verkoop,93055,nl20,93055,VOX MAXIMA (VAN OORD) IMO 9454096,CM+25,Clearing,Area 2,3,HEMPEL (SINGAPORE) PTE. LTD - II,3,No VAT Number,INTERNAL,SGP,,,,,,1,FG
11303,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93011,nl20,93011,HAPPY DIAMOND (SPLIETHOFF) IMO 9551947,CM+25,Clearing,Area 3,3,OY HEMPEL (FINLAND) AB - II,3,FI01088542,INTERNAL,FIN,65170,c/o Backman-Trummer Ab tel. 050 5919169 Vaasan satama  *TOIM. TI 15.10*,Vaasa,,,1,FG
11304,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93024,nl20,93024,M/V SLOTERGRACHT,CM+25,Clearing,Area 3,3,HEMPEL (SWEDEN) AB - II,3,SE556038458701,INTERNAL,SWE,931 61,"c/o SDK Shipping AB,  c/o Guldstadens Frakt,  Tjärnvägen 28  ",Skellefteå,,,1,FG
11305,Goods,P-EU-RC,BTW,EUR,1,Hempalin Enamel,Verkoop,93004,nl20,93004,DONAUGRACHT (SPLIETHOFF),CM+25,Clearing,Area 3,3,HEMPEL PAINTS (POLAND) SP. Z O.O. - II,3,PL7010150377,INTERNAL,LTU,,IMO 9420837 Flag: Netherlands   Western Shipyard  c/o Western Ships Agency agency@wsy.lt  +370 46 483652,Klaipėda,,,1,FG
